start_time,exit_status,mean_qscore_template,sequence_length_template,mean_qscore_complement,sequence_length_complement,mean_qscore_2d,sequence_length_2d,run_id
206.146,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
247.486,S_OK,,,,,9.348,727,f9af78a208e192d69dba03a4542d58a9605309fc
220.829,S_OK,,,,,9.509,865,f9af78a208e192d69dba03a4542d58a9605309fc
217.907,S_OK,,,,,11.631,755,f9af78a208e192d69dba03a4542d58a9605309fc
264.008,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
277.386,S_OK,,,,,13.094,1861,f9af78a208e192d69dba03a4542d58a9605309fc
159.457,S_OK,,,,,10.424,705,f9af78a208e192d69dba03a4542d58a9605309fc
289.535,S_OK,,,,,9.668,2432,f9af78a208e192d69dba03a4542d58a9605309fc
84.082,S_OK,,,,,13.408,2530,f9af78a208e192d69dba03a4542d58a9605309fc
231.127,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
116.759,2D basecall failed quality filters,,,,,8.090,1894,f9af78a208e192d69dba03a4542d58a9605309fc
259.290,S_OK,,,,,10.472,1339,f9af78a208e192d69dba03a4542d58a9605309fc
322.382,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
66.442,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
102.862,S_OK,,,,,12.132,971,f9af78a208e192d69dba03a4542d58a9605309fc
344.163,S_OK,,,,,12.044,2411,dee06345d2f99f17ce01306bad92c65d38381a26
45.059,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
245.328,S_OK,,,,,10.779,525,f9af78a208e192d69dba03a4542d58a9605309fc
109.070,2D basecall failed quality filters,,,,,8.389,1820,f9af78a208e192d69dba03a4542d58a9605309fc
144.484,S_OK,,,,,12.399,1009,f9af78a208e192d69dba03a4542d58a9605309fc
335.445,S_NO2D,,,,,,,dee06345d2f99f17ce01306bad92c65d38381a26
140.690,S_OK,,,,,12.116,760,f9af78a208e192d69dba03a4542d58a9605309fc
362.745,S_NO2D,,,,,,,dee06345d2f99f17ce01306bad92c65d38381a26
348.248,S_OK,,,,,12.780,820,dee06345d2f99f17ce01306bad92c65d38381a26
104.144,S_OK,,,,,9.031,2889,f9af78a208e192d69dba03a4542d58a9605309fc
126.801,2D basecall failed quality filters,,,,,7.163,503,f9af78a208e192d69dba03a4542d58a9605309fc
207.922,S_OK,,,,,11.808,784,f9af78a208e192d69dba03a4542d58a9605309fc
198.218,S_OK,,,,,11.368,795,f9af78a208e192d69dba03a4542d58a9605309fc
125.050,2D basecall failed quality filters,,,,,8.302,855,f9af78a208e192d69dba03a4542d58a9605309fc
